Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event
Zhou Haibin,M,23.0,186.0,78.0,China,CHN,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football
Manuela Anna Maria Bosco,F,18.0,172.0,58.0,Finland,FIN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 4 x 100 metres Relay
"Mary Ellen ""Meg"" Galliard",F,31.0,172.0,64.0,United States,USA,2004 Summer,2004,Summer,Athina,Sailing,Sailing Women's One Person Dinghy
Jzef Gut Misiaga,M,24.0,163.0,82.0,Poland,POL,1964 Winter,1964,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres
Aona Ribakova,F,25.0,176.0,63.0,Latvia,LAT,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Breaststroke
Ricardo Guasch de la Huertas,M,30.0,180.0,81.0,Mexico,MEX,1964 Summer,1964,Summer,Tokyo,Equestrianism,"Equestrianism Mixed Jumping, Individual"
Jos Vilchis,M,18.0,161.0,54.0,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Parallel Bars
Ritva Helin Laihorinne-Marjamaa,F,28.0,168.0,58.0,Finland,FIN,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 200 metres
Pavel Semyonovich Deyev,M,26.0,168.0,66.0,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual"
Kurban Kurbanov,M,27.0,188.0,96.0,Uzbekistan,UZB,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Heavyweight, Freestyle"
Dennis Roscoe Hardman,M,37.0,175.0,74.0,Zimbabwe,ZIM,1980 Summer,1980,Summer,Moskva,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres"
Valeria Cappellotto,F,22.0,162.0,48.0,Italy,ITA,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Women's Road Race, Individual"
Brett McClure,M,23.0,167.0,67.0,United States,USA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Pommelled Horse
Chen Chih-Hao,M,23.0,173.0,70.0,Chinese Taipei,TPE,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Road Race, Individual"
Andrey Keranov,M,20.0,165.0,62.0,Bulgaria,BUL,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Men's Individual All-Around
Kyle Reyes,M,22.0,183.0,99.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Half-Heavyweight
Mirko Kolnik,M,24.0,180.0,80.0,Yugoslavia,YUG,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Decathlon
"Meiskelina Catharina Anna ""Carien"" Kleibeuker",F,35.0,172.0,59.0,Netherlands,NED,2014 Winter,2014,Winter,Sochi,Speed Skating,"Speed Skating Women's 5,000 metres"
Tyler Howard Winklevoss,M,26.0,196.0,95.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxless Pairs
Joanna Barbara Smolarek,F,22.0,162.0,56.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 100 metres
Denis efik,M,31.0,198.0,115.0,Serbia,SRB,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo
Nenad Krsti,M,21.0,214.0,108.0,Serbia and Montenegro,SCG,2004 Summer,2004,Summer,Athina,Basketball,Basketball Men's Basketball
Khamphanh,M,19.0,167.0,67.0,Laos,LAO,1980 Summer,1980,Summer,Moskva,Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres"
Marianne Gossweiler (-Fankhauser),F,21.0,175.0,67.0,Switzerland,SUI,1964 Summer,1964,Summer,Tokyo,Equestrianism,"Equestrianism Mixed Dressage, Individual"
"Michael Scott ""Mike"" McKay",M,27.0,192.0,91.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxless Fours
Yevgeniya Viktorovna Soboleva-Khokhriakova,F,27.0,180.0,75.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo
Urs Kufer,M,27.0,189.0,88.0,Germany,GER,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxless Fours
Chen Zhaoxia,F,29.0,170.0,60.0,China,CHN,2004 Summer,2004,Summer,Athina,Hockey,Hockey Women's Hockey
Bradley Alan Lewis,M,29.0,193.0,89.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Double Sculls
"Willie James Smith, III",M,28.0,173.0,73.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay
Yin Lianchi,M,24.0,185.0,75.0,China,CHN,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's epee, Individual"
Slimane Zengli,M,23.0,170.0,54.0,Algeria,ALG,1988 Summer,1988,Summer,Seoul,Boxing,_N18
Stacey Janelle Cook,F,29.0,163.0,73.0,United States,USA,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Combined
Viktor Borisovich Kamotsky,M,30.0,182.0,74.0,Belarus,BLR,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres
"Johanna ""Hanna"" Schnarf",F,25.0,172.0,68.0,Italy,ITA,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Women's Downhill
"Sandra Anne ""Sandy"" Brondello",F,32.0,170.0,62.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball
"Stephen Adebisi Gbadegesin ""Steve"" Adegbite",M,24.0,186.0,77.0,Nigeria,NGR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 110 metres Hurdles
Raymond Boisset,M,24.0,171.0,72.0,France,FRA,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 4 x 400 metres Relay
Jean-Louis Roersch,M,23.0,176.0,68.0,Belgium,BEL,1960 Summer,1960,Summer,Roma,Hockey,Hockey Men's Hockey
Jana Knopov,F,18.0,160.0,47.0,Czechoslovakia,TCH,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Women's Horse Vault
Nurfitriyana Saiman-Lantang,F,26.0,159.0,51.0,Indonesia,INA,1988 Summer,1988,Summer,Seoul,_N74,Archery Women's Individual
Adriana Fernndez Miranda,F,29.0,163.0,59.0,Mexico,MEX,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Marathon
Shutaro Shoji,M,23.0,170.0,70.0,Japan,JPN,1956 Summer,1956,Summer,Melbourne,Basketball,Basketball Men's Basketball
Georgios Lemonis,M,25.0,178.0,122.0,Greece,GRE,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Shot Put
"John William Milton ""Jack"" Hutchins",M,22.0,185.0,71.0,Canada,CAN,1948 Summer,1948,Summer,London,Athletics,"Athletics Men's 1,500 metres"
Anthony Leon Ignas Cruz,M,19.0,178.0,66.0,Malaysia,MAS,1976 Summer,1976,Summer,Montreal,Hockey,Hockey Men's Hockey
Bo Leif Andersson,M,32.0,183.0,71.0,Sweden,SWE,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay
Emilio Sagre del Cristo,M,21.0,167.0,63.0,Cuba,CUB,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Horizontal Bar
Kyle Keith Shewfelt,M,18.0,164.0,61.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Floor Exercise
"Kathleen ""Kathy"" Vogt (-Gregg)",F,20.0,165.0,57.0,Canada,CAN,1980 Winter,1980,Winter,Lake Placid,Speed Skating,"Speed Skating Women's 1,000 metres"
"Voisava ""Savva"" Lika",F,42.0,168.0,73.0,Greece,GRE,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Javelin Throw
Svetlana Leonidovna Boginskaya,F,23.0,157.0,44.0,Belarus,BLR,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Women's Floor Exercise
Peter Thomas Antonie,M,34.0,183.0,82.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Double Sculls
Mauro Crenna,M,24.0,175.0,78.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres"
Bjrn Skaare,M,25.0,181.0,85.0,Norway,NOR,1984 Winter,1984,Winter,Sarajevo,Ice Hockey,Ice Hockey Men's Ice Hockey
Jan Gunnar Junell,M,27.0,186.0,84.0,Sweden,SWE,1984 Winter,1984,Winter,Sarajevo,Speed Skating,"Speed Skating Men's 5,000 metres"
John Christian Bert Olsson,M,24.0,192.0,73.0,Sweden,SWE,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Triple Jump
Ghulam Mohiddin Gunga,M,26.0,168.0,81.0,Afghanistan,AFG,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle"
Antonello Carlo Steardo,M,21.0,190.0,90.0,Italy,ITA,1980 Summer,1980,Summer,Moskva,Water Polo,Water Polo Men's Water Polo
Miguel Font Puig,M,16.0,174.0,85.0,Andorra,AND,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing,Alpine Skiing Men's Downhill
Tom Berdych,M,26.0,195.0,90.0,Czech Republic,CZE,2012 Summer,2012,Summer,London,Tennis,Tennis Men's Doubles
Felipe Reyes Cabaas,M,24.0,205.0,109.0,Spain,ESP,2004 Summer,2004,Summer,Athina,Basketball,Basketball Men's Basketball
Luk Konen,M,22.0,173.0,63.0,Czech Republic,CZE,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Light-Welterweight
Hirokatsu Kuwayama,M,30.0,170.0,75.0,Japan,JPN,1972 Summer,1972,Summer,Munich,Water Polo,Water Polo Men's Water Polo
Zdenk Srstka,M,24.0,170.0,90.0,Czechoslovakia,TCH,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Middle-Heavyweight
Nataliya Yuryevna Kuzyutina,F,23.0,160.0,52.0,Russia,RUS,2012 Summer,2012,Summer,London,Judo,Judo Women's Half-Lightweight
Dimitra Magkanoudaki,F,25.0,175.0,61.0,Greece,GRE,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Women's epee, Team"
Stacey Tadd,F,23.0,181.0,74.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 200 metres Breaststroke
Manish Singh Rawat,M,25.0,174.0,65.0,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 20 kilometres Walk
Orlando Ortega Alejo,M,25.0,182.0,77.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 110 metres Hurdles
Brian Christopher Rafalski,M,32.0,178.0,89.0,United States,USA,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Men's Ice Hockey
Yelena Nikolayevna Dergachova,F,18.0,159.0,57.0,Russia,RUS,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey
O'Neal Ricardo Marshall,M,29.0,178.0,87.0,Barbados,BAR,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Men's Windsurfer
Chieko Oda (-Tsukahara),F,21.0,155.0,49.0,Japan,JPN,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Women's Team All-Around
Juan Diego Garca Trevijano,M,23.0,184.0,65.0,Spain,ESP,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Jumping, Team"
Martin Vozbal,M,21.0,182.0,77.0,Czech Republic,CZE,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football
Mindaugas Grikonis,M,22.0,190.0,92.0,Lithuania,LTU,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Single Sculls
Annalisa Turci,F,27.0,161.0,57.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball
Ian Pringle,M,23.0,180.0,82.0,Ireland,IRL,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres"
"Samuel ""Sam"" Lynch",M,20.0,199.0,71.0,Ireland,IRL,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Lightweight Coxless Fours
Jan Friesinger,M,21.0,179.0,78.0,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Speed Skating,"Speed Skating Men's 1,000 metres"
Viktor Engel,M,37.0,188.0,88.0,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres"
Svetlana Nikolayevna Radkevich,F,26.0,166.0,58.0,Belarus,BLR,2006 Winter,2006,Winter,Torino,Speed Skating,"Speed Skating Women's 1,000 metres"
"Joanna Frances ""Jo"" Jackson (-Atkinson)",F,27.0,168.0,54.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 20 kilometres Walk
Yordan Yovchev Yovchev,M,23.0,163.0,62.0,Bulgaria,BUL,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Horizontal Bar
Miroslav Boyadzhiev,M,22.0,180.0,78.0,Bulgaria,BUL,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Men's 1,500 metres"
Nathalie Marie,F,28.0,162.0,57.0,France,FRA,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Women's Kayak Singles, 500 metres"
Marisol Bretn Lpez,F,21.0,162.0,59.0,Mexico,MEX,1996 Summer,1996,Summer,Atlanta,Archery,Archery Women's Individual
Giuseppe Carando,M,24.0,190.0,90.0,Italy,ITA,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Fours
Albert Azaryan,M,27.0,174.0,72.0,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Team All-Around
Dieter Happ,M,27.0,190.0,90.0,Austria,AUT,1998 Winter,1998,Winter,Nagano,_N51,Snowboarding Men's Giant Slalom
Itzhak Peretz,M,23.0,168.0,73.0,Israel,ISR,1976 Summer,1976,Summer,Montreal,Football,Football Men's Football
Andreas Zisimos,M,20.0,185.0,65.0,Greece,GRE,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
Arkady Kudinov,M,26.0,191.0,85.0,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Coxed Fours
Jennifer Robinson (-Dennison),F,25.0,170.0,55.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Figure Skating,Figure Skating Women's Singles
Harry Kenneth Jackson,M,27.0,180.0,73.0,Great Britain,GBR,1968 Summer,1968,Summer,Mexico City,Cycling,"Cycling Men's Team Pursuit, 4,000 metres"
Lindsay Philip Spencer,M,18.0,177.0,72.0,Australia,AUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 200 metres Breaststroke
Andreas Morczinietz,M,23.0,186.0,80.0,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey
"Burke William ""Buck"" Deadrich",M,27.0,193.0,100.0,United States,USA,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman"
Eszter Mtfi,F,30.0,177.0,74.0,Hungary,HUN,1996 Summer,1996,Summer,Atlanta,Handball,Handball Women's Handball
"Penelope Jane ""Penny"" Taylor (-Gil-)",F,35.0,185.0,72.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball
Jnos Pintr,M,27.0,173.0,54.0,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Athletics,"Athletics Men's 10,000 metres"
Damien loi,M,23.0,165.0,58.0,France-2,FRA,1992 Summer,1992,Summer,Barcelona,Table Tennis,Table Tennis Men's Doubles
Ian Hallam,M,27.0,193.0,71.0,Great Britain,GBR,1976 Summer,1976,Summer,Montreal,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres"
Viorel Talapan,M,28.0,198.0,97.0,Romania,ROU,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights
Young Talkmore Nyongani,M,20.0,178.0,75.0,Zimbabwe,ZIM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 400 metres
Lyudmila Andreyevna Yezhova-Grebenkova,F,26.0,140.0,39.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around
"Marie Helene ""Marie-Helene"" Westin-stlund",F,27.0,168.0,55.0,Sweden,SWE,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres
John Martin-Dye,M,24.0,176.0,77.0,Great Britain,GBR,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
Mary Frances Clinton (Deakins-),F,32.0,163.0,65.0,New Zealand,NZL,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Women's Hockey
Paola Milagros Espinosa Snchez,F,30.0,156.0,48.0,Mexico,MEX,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Women's Platform
Manuela Georgieva Maleeva-Fragnire,F,25.0,173.0,58.0,Switzerland,SUI,1992 Summer,1992,Summer,Barcelona,Tennis,Tennis Women's Singles
Henryk Przedziecki,M,26.0,164.0,52.0,Poland,POL,1936 Winter,1936,Winter,Garmisch-Partenkirchen,Ice Hockey,Ice Hockey Men's Ice Hockey
Herminio Menndez Rodrguez,M,18.0,180.0,86.0,Spain,ESP,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres"
Michele Mary Mason-Brown,F,17.0,171.0,55.0,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Women's High Jump
"Gerard ""Gerry"" Wiedel",M,39.0,178.0,79.0,Canada,CAN,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Men's epee, Team"
Hubert Raudaschl,M,37.0,187.0,82.0,Austria,AUT,1980 Summer,1980,Summer,Moskva,Sailing,Sailing Mixed Two Person Keelboat
Jos Luis Rocha,M,18.0,165.0,65.0,Mexico,MEX,1984 Summer,1984,Summer,Los Angeles,Diving,Diving Men's Platform
Colin Griffin,M,29.0,185.0,70.0,Ireland,IRL,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 50 kilometres Walk
"John Joseph Louis ""Jack"" Johnson, III",M,23.0,183.0,100.0,United States,USA,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey
Juan Martnez Olivier,M,34.0,180.0,75.0,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Team Pursuit, 4,000 metres"
Sharon Tanya Pickering (-Smith),F,20.0,171.0,71.0,Fiji,FIJ,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 100 metres Backstroke
Dominic Brindle,M,20.0,170.0,67.0,Great Britain,GBR,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Floor Exercise
Myriam Bdard,F,22.0,161.0,54.0,Canada,CAN,1992 Winter,1992,Winter,Albertville,Biathlon,Biathlon Women's 15 kilometres
Matthias Brehme,M,29.0,169.0,63.0,East Germany,GDR,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Horse Vault
Ruben Aleksanyan,M,26.0,180.0,150.0,Armenia,ARM,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Super-Heavyweight
Crown Prince Harald,M,35.0,186.0,90.0,Norway,NOR,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Three Person Keelboat
Francisco Romero Portilla,M,49.0,171.0,70.0,Guatemala,GUA,1980 Summer,1980,Summer,Moskva,Shooting,Shooting Mixed Trap
Kim Su-Myeon,M,25.0,165.0,57.0,South Korea,KOR,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Floor Exercise
Ecaterina Oancia (Iane-),F,30.0,157.0,44.0,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Women's Coxed Quadruple Sculls
Emilio Echeverry de la Roche,M,27.0,175.0,68.0,Colombia,COL,1956 Summer,1956,Summer,Melbourne,Fencing,"Fencing Men's epee, Individual"
Jaroslav astn,M,24.0,171.0,65.0,Czechoslovakia,TCH,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Individual All-Around
Abdel Latif Fatihi,M,25.0,188.0,81.0,Morocco,MAR,1976 Summer,1976,Summer,Montreal,Boxing,Boxing Men's Light-Heavyweight
Hussein Al-Sadiq,M,22.0,183.0,80.0,Saudi Arabia,KSA,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football
Jrme Neuville,M,25.0,192.0,85.0,France,FRA,2000 Summer,2000,Summer,Sydney,Cycling,"Cycling Men's Team Pursuit, 4,000 metres"
Marcelo Dias Juc,M,20.0,174.0,60.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Swimming,"Swimming Men's 1,500 metres Freestyle"
Rosemarie Taupadel,F,19.0,167.0,65.0,East Germany,GDR,1972 Winter,1972,Winter,Sapporo,Speed Skating,"Speed Skating Women's 1,500 metres"
"Thomas Franklin ""Tom"" Gayford",M,31.0,172.0,70.0,Canada,CAN,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Men's Three-Day Event, Individual"
Wan Chunbo,M,25.0,178.0,75.0,China,CHN,1998 Winter,1998,Winter,Nagano,Speed Skating,"Speed Skating Men's 1,500 metres"
"James ""Jimmy"" Thordsen Lasvitt",M,27.0,193.0,80.0,Puerto Rico,PUR,1976 Summer,1976,Summer,Montreal,Basketball,Basketball Men's Basketball
Valerian Sauveplane,M,36.0,180.0,77.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres"
Shinya Chiba,M,22.0,174.0,73.0,Japan,JPN,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Giant Slalom
Franois Dehez,M,28.0,173.0,67.0,Belgium,BEL,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Men's epee, Team"
Olof rjan Sandler,M,27.0,180.0,74.0,Sweden,SWE,1968 Winter,1968,Winter,Grenoble,Speed Skating,"Speed Skating Men's 5,000 metres"
Johan Christian Strm,M,28.0,183.0,90.0,Norway,NOR,1976 Winter,1976,Winter,Innsbruck,Luge,Luge Men's Singles
Behnam Tayebi Kermani,M,25.0,173.0,54.0,Iran,IRI,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Bantamweight, Freestyle"
Brent Donald Rushlaw,M,32.0,178.0,89.0,_N85,USA,1984 Winter,1984,Winter,Sarajevo,Bobsleigh,Bobsleigh Men's Two
"Janice Marie ""Mary"" Lawler",F,19.0,162.0,59.0,United States,USA,1964 Winter,1964,Winter,Innsbruck,Speed Skating,"Speed Skating Women's 1,500 metres"
Valentyn Rusliakov,M,28.0,187.0,180.0,Ukraine,UKR,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Heavyweight
"Adriana ""Diane"" van der Plaats",F,17.0,182.0,66.0,Netherlands,NED,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 50 metres Freestyle
Antonio Corgos Cervantes,M,20.0,183.0,78.0,Spain,ESP,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Long Jump
Werner Lampe,M,23.0,195.0,80.0,West Germany,FRG,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
Jerzy Choroba,M,22.0,184.0,75.0,Poland,POL,1972 Summer,1972,Summer,Munich,Hockey,Hockey Men's Hockey
Lou Yun,M,24.0,158.0,53.0,China,CHN,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Individual All-Around
Petre Miclu,M,25.0,157.0,55.0,Romania,ROU,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Team All-Around
Martine Smeets,F,26.0,172.0,69.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball
Riccardo De Santis,M,24.0,193.0,95.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball
Dominik Meichtry,M,27.0,183.0,74.0,Switzerland,SUI,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Freestyle
Kaori Sasaki,F,17.0,168.0,54.0,Japan,JPN,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 100 metres Freestyle
Grard Adrianus Pius de Kort,M,20.0,175.0,64.0,Netherlands,NED,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Butterfly
Henry Gla,M,18.0,173.0,68.0,East Germany,GDR,1972 Winter,1972,Winter,Sapporo,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual"
Yelena Sergeyevna Sannikova,F,25.0,174.0,60.0,Belarus,BLR,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay
Carlos Alberto de Sousa Lopes,M,25.0,167.0,55.0,Portugal,POR,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Men's 5,000 metres"
Tevarit Majchacheep,M,29.0,162.0,57.0,Thailand,THA,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Men's Air Rifle, 10 metres"
"Luciana Paula ""Lucha"" Aymar",F,23.0,178.0,59.0,Argentina,ARG,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey
"Nicholas ""Nick"" Miller",M,23.0,188.0,112.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Hammer Throw
Marc Lazzaro,M,24.0,187.0,73.0,France,FRA,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
Yusuf Dike,M,39.0,180.0,80.0,Turkey,TUR,2012 Summer,2012,Summer,London,Shooting,"Shooting Men's Air Pistol, 10 metres"
Lindita Kodra,F,46.0,170.0,76.0,Albania,ALB,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Women's Air Pistol, 10 metres"
Marcia Arriaga Larrinua,F,16.0,168.0,58.0,Mexico,MEX,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 100 metres Freestyle
"Josip ""Jozo"" Alebi",M,29.0,177.0,72.0,Yugoslavia,YUG,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 400 metres
Mihly Huszka,M,27.0,169.0,71.0,Hungary,HUN,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Lightweight
Hernn Espinosa de los Monteros Bermejillo,M,44.0,174.0,73.0,Spain,ESP,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Mixed Jumping, Individual"
